P0	P1	P2	P3	P4	DFO	DIL	DFI	DOL	allsites
bic_1	SPC.3.1	Car-L10.1	ARS.1.1	V480	0.282337	0.299544	-0.022701	0.004423	582803
bic_1	SPC.3.1	Car-L10.1	ARS2.1	V480	0.277983	0.294785	-0.021624	0.004911	581250
bic_1	SPC.3.1	Car-L10.1	ARS3.1	V480	0.218429	0.235308	-0.021598	0.006255	594527
bic_1	SPC.3.1	Car-L10.1	CAR-C27.1	V480	0.264074	0.279359	-0.019999	0.004252	589735
bic_1	SPC.3.1	Car-L10.1	CARC3.1	V480	0.259413	0.276268	-0.02029	0.006595	589219
bic_1	SPC.3.1	Car-L10.1	CAR-C4.1	V480	0.221998	0.239197	-0.022743	0.005427	596450
bic_1	SPC.3.1	Car-L10.1	CED1.1	V480	0.211522	0.22772	-0.020686	0.00601	593016
bic_1	SPC.3.1	Car-L10.1	CED2.1	V480	0.17102	0.18721	-0.021369	0.006189	601620
bic_1	SPC.3.1	Car-L10.1	CED3.1	V480	0.363574	0.379381	-0.019827	0.003549	569387
bic_1	SPC.3.1	Car-L10.1	CUY1.1	V480	0.294716	0.31205	-0.023593	0.003454	579271
bic_1	SPC.3.1	Car-L10.1	CUY.2.1	V480	0.30468	0.320851	-0.023783	0.001289	578715
bic_1	SPC.3.1	Car-L10.1	CUY3.1	V480	0.282394	0.300337	-0.023506	0.004628	583633
bic_1	SPC.3.1	Car-L10.1	GRM4.1	V480	0.226233	0.244004	-0.022453	0.006508	590688
bic_1	SPC.3.1	Car-L10.1	GRM5.1	V480	0.242974	0.260561	-0.024066	0.004241	589858
bic_1	SPC.3.1	Car-L10.1	IND2.1	V480	0.229114	0.245371	-0.021052	0.005491	594703
bic_1	SPC.3.1	Car-L10.1	IND5.1	V480	0.228646	0.244473	-0.021299	0.004539	594795
bic_1	SPC.3.1	Car-L10.1	IND6.1	V480	0.194581	0.210847	-0.02071	0.006514	601683
bic_1	SPC.3.1	Car-L10.1	MNZ1.1	V480	0.263519	0.281237	-0.021602	0.006584	585539
bic_1	SPC.3.1	Car-L10.1	MNZ2.1	V480	0.296545	0.313046	-0.020858	0.004912	581289
bic_1	SPC.3.1	Car-L10.1	ONC1.1	V480	0.251394	0.267616	-0.021826	0.004214	590884
bic_1	SPC.3.1	Car-L10.1	ONC2.1	V480	0.247879	0.263883	-0.0208	0.004966	591392
bic_1	SPC.3.1	Car-L10.1	ONC3.1	V480	0.194671	0.21084	-0.021364	0.005704	602035
bic_1	SPC.3.1	Car-L10.1	RED11.1	V480	0.213425	0.228066	-0.018724	0.005469	597786
bic_1	SPC.3.1	Car-L10.1	RED15.1	V480	0.257227	0.271754	-0.019537	0.003706	590427
