CARD	LEW	D
ARS.1.1	Car-L1.1	0.102153
ARS.1.1	Car-L10.1	0.097545
ARS.1.1	Car-L8.1b	0.102116
ARS.1.1	FAL6.1b	0.094264
ARS.1.1	FAL7.1	0.094876
ARS.1.1	FAL8.1	0.095529
ARS.1.1	HST1.1	0.103067
ARS.1.1	HST2.1	0.101128
ARS.1.1	HST5.1b	0.100447
ARS.1.1	Holly	0.091925
ARS.1.1	IOM3.1.1	0.087366
ARS.1.1	JAC1.1	0.088998
ARS.1.1	JAC2.1	0.091031
ARS.1.1	JAC4.1	0.088571
ARS.1.1	LH217.1	0.089572
ARS.1.1	LH223.1	0.087183
ARS.1.1	LH266.1	0.093295
ARS.1.1	PPK1.1	0.092024
ARS.1.1	PPK5.1	0.091081
ARS.1.1	SNO8.1	0.100725
ARS.1.1	SPC.3.1	0.079648
ARS.1.1	SPC.5.1b	0.076994
ARS.1.1	YL51.1	0.076049
ARS2.1	Car-L1.1	0.102793
ARS2.1	Car-L10.1	0.097025
ARS2.1	Car-L8.1b	0.101743
ARS2.1	FAL6.1b	0.09463
ARS2.1	FAL7.1	0.094259
ARS2.1	FAL8.1	0.095218
ARS2.1	HST1.1	0.104247
ARS2.1	HST2.1	0.101923
ARS2.1	HST5.1b	0.102108
ARS2.1	Holly	0.092139
ARS2.1	IOM3.1.1	0.08666
ARS2.1	JAC1.1	0.089542
ARS2.1	JAC2.1	0.091972
ARS2.1	JAC4.1	0.089996
ARS2.1	LH217.1	0.090322
ARS2.1	LH223.1	0.087738
ARS2.1	LH266.1	0.093715
ARS2.1	PPK1.1	0.092506
ARS2.1	PPK5.1	0.09174
ARS2.1	SNO8.1	0.1011
ARS2.1	SPC.3.1	0.078989
ARS2.1	SPC.5.1b	0.076471
ARS2.1	YL51.1	0.075455
ARS3.1	Car-L1.1	0.103336
ARS3.1	Car-L10.1	0.099146
ARS3.1	Car-L8.1b	0.103067
ARS3.1	FAL6.1b	0.095584
ARS3.1	FAL7.1	0.094863
ARS3.1	FAL8.1	0.095464
ARS3.1	HST1.1	0.103256
ARS3.1	HST2.1	0.101322
ARS3.1	HST5.1b	0.101477
ARS3.1	Holly	0.092181
ARS3.1	IOM3.1.1	0.089186
ARS3.1	JAC1.1	0.090356
ARS3.1	JAC2.1	0.09406
ARS3.1	JAC4.1	0.091816
ARS3.1	LH217.1	0.090367
ARS3.1	LH223.1	0.088283
ARS3.1	LH266.1	0.095027
ARS3.1	PPK1.1	0.093496
ARS3.1	PPK5.1	0.091972
ARS3.1	SNO8.1	0.103148
ARS3.1	SPC.3.1	0.081872
ARS3.1	SPC.5.1b	0.077868
ARS3.1	YL51.1	0.077737
CAR-C27.1	Car-L1.1	0.09227
CAR-C27.1	Car-L10.1	0.088645
CAR-C27.1	Car-L8.1b	0.091064
CAR-C27.1	FAL6.1b	0.083459
CAR-C27.1	FAL7.1	0.083438
CAR-C27.1	FAL8.1	0.084199
CAR-C27.1	HST1.1	0.09338
CAR-C27.1	HST2.1	0.092281
CAR-C27.1	HST5.1b	0.091718
CAR-C27.1	Holly	0.082071
CAR-C27.1	IOM3.1.1	0.077913
CAR-C27.1	JAC1.1	0.079952
CAR-C27.1	JAC2.1	0.082492
CAR-C27.1	JAC4.1	0.079287
CAR-C27.1	LH217.1	0.08026
CAR-C27.1	LH223.1	0.077414
CAR-C27.1	LH266.1	0.083845
CAR-C27.1	PPK1.1	0.083167
CAR-C27.1	PPK5.1	0.079715
CAR-C27.1	SNO8.1	0.090836
CAR-C27.1	SPC.3.1	0.0719
CAR-C27.1	SPC.5.1b	0.067926
CAR-C27.1	YL51.1	0.068631
CARC3.1	Car-L1.1	0.09192
CARC3.1	Car-L10.1	0.08938
CARC3.1	Car-L8.1b	0.092034
CARC3.1	FAL6.1b	0.083442
CARC3.1	FAL7.1	0.083604
CARC3.1	FAL8.1	0.083656
CARC3.1	HST1.1	0.093259
CARC3.1	HST2.1	0.092456
CARC3.1	HST5.1b	0.091758
CARC3.1	Holly	0.081413
CARC3.1	IOM3.1.1	0.077599
CARC3.1	JAC1.1	0.079398
CARC3.1	JAC2.1	0.082021
CARC3.1	JAC4.1	0.078724
CARC3.1	LH217.1	0.081106
CARC3.1	LH223.1	0.078192
CARC3.1	LH266.1	0.084632
CARC3.1	PPK1.1	0.083157
CARC3.1	PPK5.1	0.080425
CARC3.1	SNO8.1	0.090918
CARC3.1	SPC.3.1	0.07123
CARC3.1	SPC.5.1b	0.067511
CARC3.1	YL51.1	0.069149
CAR-C4.1	Car-L1.1	0.093337
CAR-C4.1	Car-L10.1	0.090632
CAR-C4.1	Car-L8.1b	0.093385
CAR-C4.1	FAL6.1b	0.084368
CAR-C4.1	FAL7.1	0.084173
CAR-C4.1	FAL8.1	0.084913
CAR-C4.1	HST1.1	0.092987
CAR-C4.1	HST2.1	0.091636
CAR-C4.1	HST5.1b	0.091173
CAR-C4.1	Holly	0.082554
CAR-C4.1	IOM3.1.1	0.071378
CAR-C4.1	JAC1.1	0.080115
CAR-C4.1	JAC2.1	0.083223
CAR-C4.1	JAC4.1	0.080411
CAR-C4.1	LH217.1	0.080381
CAR-C4.1	LH223.1	0.077376
CAR-C4.1	LH266.1	0.084525
CAR-C4.1	PPK1.1	0.083675
CAR-C4.1	PPK5.1	0.081488
CAR-C4.1	SNO8.1	0.092742
CAR-C4.1	SPC.3.1	0.066884
CAR-C4.1	SPC.5.1b	0.061625
CAR-C4.1	YL51.1	0.063326
CED1.1	Car-L1.1	0.097035
CED1.1	Car-L10.1	0.093103
CED1.1	Car-L8.1b	0.096241
CED1.1	FAL6.1b	0.091134
CED1.1	FAL7.1	0.090097
CED1.1	FAL8.1	0.090765
CED1.1	HST1.1	0.09818
CED1.1	HST2.1	0.096136
CED1.1	HST5.1b	0.095189
CED1.1	Holly	0.083744
CED1.1	IOM3.1.1	0.088564
CED1.1	JAC1.1	0.084416
CED1.1	JAC2.1	0.088667
CED1.1	JAC4.1	0.085265
CED1.1	LH217.1	0.086264
CED1.1	LH223.1	0.084623
CED1.1	LH266.1	0.090295
CED1.1	PPK1.1	0.089128
CED1.1	PPK5.1	0.088085
CED1.1	SNO8.1	0.09622
CED1.1	SPC.3.1	0.078076
CED1.1	SPC.5.1b	0.074152
CED1.1	YL51.1	0.077309
CED2.1	Car-L1.1	0.096935
CED2.1	Car-L10.1	0.093139
CED2.1	Car-L8.1b	0.095417
CED2.1	FAL6.1b	0.090182
CED2.1	FAL7.1	0.089618
CED2.1	FAL8.1	0.089727
CED2.1	HST1.1	0.09804
CED2.1	HST2.1	0.09603
CED2.1	HST5.1b	0.094908
CED2.1	Holly	0.084051
CED2.1	IOM3.1.1	0.089045
CED2.1	JAC1.1	0.083023
CED2.1	JAC2.1	0.087314
CED2.1	JAC4.1	0.084403
CED2.1	LH217.1	0.084759
CED2.1	LH223.1	0.084016
CED2.1	LH266.1	0.089027
CED2.1	PPK1.1	0.088283
CED2.1	PPK5.1	0.087138
CED2.1	SNO8.1	0.096149
CED2.1	SPC.3.1	0.07803
CED2.1	SPC.5.1b	0.074067
CED2.1	YL51.1	0.076996
CED3.1	Car-L1.1	0.093
CED3.1	Car-L10.1	0.08947
CED3.1	Car-L8.1b	0.091938
CED3.1	FAL6.1b	0.086776
CED3.1	FAL7.1	0.086589
CED3.1	FAL8.1	0.087618
CED3.1	HST1.1	0.093845
CED3.1	HST2.1	0.092359
CED3.1	HST5.1b	0.091282
CED3.1	Holly	0.08085
CED3.1	IOM3.1.1	0.08571
CED3.1	JAC1.1	0.081619
CED3.1	JAC2.1	0.085034
CED3.1	JAC4.1	0.081596
CED3.1	LH217.1	0.082894
CED3.1	LH223.1	0.080339
CED3.1	LH266.1	0.087047
CED3.1	PPK1.1	0.085104
CED3.1	PPK5.1	0.083116
CED3.1	SNO8.1	0.093091
CED3.1	SPC.3.1	0.076033
CED3.1	SPC.5.1b	0.071896
CED3.1	YL51.1	0.074507
CUY1.1	Car-L1.1	0.105138
CUY1.1	Car-L10.1	0.098919
CUY1.1	Car-L8.1b	0.103974
CUY1.1	FAL6.1b	0.094341
CUY1.1	FAL7.1	0.095511
CUY1.1	FAL8.1	0.097173
CUY1.1	HST1.1	0.103167
CUY1.1	HST2.1	0.100971
CUY1.1	HST5.1b	0.100552
CUY1.1	Holly	0.09299
CUY1.1	IOM3.1.1	0.086302
CUY1.1	JAC1.1	0.092018
CUY1.1	JAC2.1	0.09329
CUY1.1	JAC4.1	0.092034
CUY1.1	LH217.1	0.091375
CUY1.1	LH223.1	0.089893
CUY1.1	LH266.1	0.096015
CUY1.1	PPK1.1	0.093287
CUY1.1	PPK5.1	0.091466
CUY1.1	SNO8.1	0.101873
CUY1.1	SPC.3.1	0.08055
CUY1.1	SPC.5.1b	0.07717
CUY1.1	YL51.1	0.078345
CUY.2.1	Car-L1.1	0.107291
CUY.2.1	Car-L10.1	0.102843
CUY.2.1	Car-L8.1b	0.106784
CUY.2.1	FAL6.1b	0.09704
CUY.2.1	FAL7.1	0.097513
CUY.2.1	FAL8.1	0.098275
CUY.2.1	HST1.1	0.107392
CUY.2.1	HST2.1	0.106022
CUY.2.1	HST5.1b	0.105061
CUY.2.1	Holly	0.096332
CUY.2.1	IOM3.1.1	0.089325
CUY.2.1	JAC1.1	0.091863
CUY.2.1	JAC2.1	0.09501
CUY.2.1	JAC4.1	0.091656
CUY.2.1	LH217.1	0.093786
CUY.2.1	LH223.1	0.091462
CUY.2.1	LH266.1	0.097524
CUY.2.1	PPK1.1	0.096481
CUY.2.1	PPK5.1	0.09437
CUY.2.1	SNO8.1	0.104231
CUY.2.1	SPC.3.1	0.082965
CUY.2.1	SPC.5.1b	0.079414
CUY.2.1	YL51.1	0.07682
CUY3.1	Car-L1.1	0.098748
CUY3.1	Car-L10.1	0.093827
CUY3.1	Car-L8.1b	0.097868
CUY3.1	FAL6.1b	0.089025
CUY3.1	FAL7.1	0.090258
CUY3.1	FAL8.1	0.091662
