dummycol,Name,Short_name,Species,region,Location,lat,lon,elevation,petal_width_(mm),cor_ap_wid_(mm),cor_ap_len_(mm),corolla_ap_(len/wid),pistil_len_(mm),Date_tissue_collected,Date_seeds_collected,anthers?,Wire,date_extracted,Notes
1,ARS.1.1,ARS.1.1,cardinalis,southern,Arroyo_Sequit_Los_Angeles_CA,34.065,-118.933,120,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2,ARS.2.100,ARS2.1,cardinalis,southern,Arroyo_Sequit_Los_Angeles_CA,34.065,-118.933,120,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
3,ARS.3.100,ARS3.1,cardinalis,southern,Arroyo_Sequit_Los_Angeles_CA,34.065,-118.933,120,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
4,CAR-C.27.100,CAR-C27.1,cardinalis,central,Carlon_Tuolumne_CA,37.812,-119.859,1320,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
5,CAR-C.4.100,CAR-C4.1,cardinalis,central,Carlon_Tuolumne_CA,37.812,-119.859,1320,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
6,CAR-C.3.100,CARC3.1,cardinalis,central,Carlon_Tuolumne_CA,37.812,-119.859,1320,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
7,Cedros_1,CED1.1,cardinalis,Baja,Cedros_Island_Baja_California_Mexico,28.296,-115.215,760,ND,ND,ND,ND,ND,ND,Aug._1994,ND,ND,ND,from_Vickery
8,Cedros_2,CED2.1,cardinalis,Baja,Cedros_Island_Baja_California_Mexico,28.296,-115.215,760,ND,ND,ND,ND,ND,ND,Aug._1994,ND,ND,ND,from_Vickery
9,Cedros_3,CED3.1,cardinalis,Baja,Cedros_Island_Baja_California_Mexico,28.296,-115.215,760,ND,ND,ND,ND,ND,ND,Aug._1994,ND,ND,ND,from_Vickery
10,Cuyamaca2,CUY.2.1,cardinalis,southern,Cuyamaca_Rancho_State_Park,32.8991,-116.5865,1386,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
11,Cuyamaca1,CUY1.1,cardinalis,southern,Cuyamaca_Rancho_State_Park,32.8991,-116.5865,1386,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
12,Cuyamaca3,CUY3.1,cardinalis,southern,Cuyamaca_Rancho_State_Park,32.8991,-116.5865,1386,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
13,Graham_County,GRM4.1,cardinalis,Arizona,Graham_County_AZ,32.692527,-109.900042,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
14,Graham_County,GRM5.1,cardinalis,Arizona,Graham_County_AZ,32.692527,-109.900042,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
15,Indian_Creek_2,IND2.1,cardinalis,central,ND,40.65742,-122.91317,ND,ND,ND,ND,ND,ND,ND,10/8/10,ND,ND,ND,ND
16,Indian_Creek_5,IND5.1,cardinalis,central,ND,40.65742,-122.91317,ND,ND,ND,ND,ND,ND,ND,10/8/10,ND,ND,ND,ND
17,Indian_Creek_6,IND6.1,cardinalis,central,ND,40.65742,-122.91317,ND,ND,ND,ND,ND,ND,ND,10/8/10,ND,ND,ND,ND
18,Manzanita_Creek_1,MNZ1.1,cardinalis,southern,Manzanita_Creek_Santa_Barbara_CA,34.772,-119.944,550,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
19,Manzanita_Creek_2,MNZ2.1,cardinalis,southern,Manzanita_Creek_Santa_Barbara_CA,34.772,-119.944,550,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
20,ONeil_Creek_1,ONC1.1,cardinalis,central,ONeil_Creek_Yreka_CA,41.81,-123.119,490,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
21,ONeil_Creek_2,ONC2.1,cardinalis,central,ONeil_Creek_Yreka_CA,41.81,-123.119,490,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
22,ONeil_Creek_3,ONC3.1,cardinalis,central,ONeil_Creek_Yreka_CA,41.81,-123.119,490,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
