chr	start	stop	pi.slew	pi.nlew	pi.lew	pi.ccar	dxy.slew.ccar	dxy.slew.acar	dxy.nlew.ccar	dxy.slew.nlew	dxy.lew.ccar	dxy.ccar.acar	dxy.ccar.verb	dxy.ccar.par	dxy.ccar.bic	dxy.slew.bic	dxy.slew.verb	dxy.nlew.verb	pi.sLC	pi.CV	dxy.sLC.bic	dxy.CV.bic
8	68246	68811	0.002991	0.005247	0.005987	0.001574	0.007943	0.010619	0.009049	0.012983	0.008135	0.004403	0.014851	0.009099	0.026955	0.030275	0.018398	0.01792	0.004804	0.002395	0.028215	0.027108
8	74458	75619	0.011357	0.004641	0.012071	0.009409	0.015474	0.018774	0.018992	0.014409	0.016086	0.016416	0.020668	0.025026	0.032605	0.03166	0.018797	0.016997	0.012585	0.010107	0.03225	0.032635
8	83124	83524	0.003744	0.001959	0.004732	0.006214	0.012227	0.01307	0.009755	0.006213	0.011994	0.010017	0.016613	0.01241	0.039097	0.045292	0.020552	0.01808	0.008716	0.006852	0.041444	0.039005
8	94056	94349	0.000359	0.006216	0.003993	0.001014	0.007197	0.008353	0.006097	0.012192	0.007005	0.002257	0.010789	0.012496	0.0398	0.045895	0.016885	0.010666	0.003864	0.001615	0.042116	0.039889
8	102630	104176	0.002799	0.004756	0.005475	0.005276	0.013638	0.013507	0.016809	0.011735	0.014189	0.008264	0.015003	0.021144	0.020508	0.01836	0.014618	0.014544	0.008902	0.005872	0.019691	0.020402
8	107229	108349	0.001068	0.00558	0.004147	0.008288	0.01034	0.011591	0.013213	0.011108	0.010845	0.013628	0.018448	0.013623	0.020493	0.0168	0.015014	0.014955	0.00827	0.008913	0.019111	0.020564
8	114157	115225	0.002778	0.003875	0.00443	0.005034	0.011831	0.017687	0.01201	0.008276	0.011874	0.015118	0.018287	0.017736	0.026872	0.02993	0.020231	0.020346	0.00794	0.005848	0.028029	0.02704
8	122736	124218	0.011033	0.006989	0.012928	0.009686	0.020547	0.02021	0.016654	0.017866	0.019863	0.014751	0.022047	0.020006	0.029382	0.036191	0.026458	0.022436	0.015041	0.010445	0.031967	0.029593
8	127567	128838	0.01378	0.011315	0.015574	0.007546	0.023154	0.022039	0.02029	0.020214	0.02264	0.011459	0.021486	0.018595	0.043977	0.04548	0.02537	0.023094	0.015849	0.008415	0.044589	0.043973
8	132321	133446	0.001825	0.003235	0.003023	0.006865	0.012162	0.014646	0.014142	0.005773	0.012506	0.00929	0.018289	0.010238	0.029232	0.02281	0.019234	0.021314	0.008667	0.007566	0.026782	0.029344
8	139878	141066	0.006035	0.003594	0.007538	0.003293	0.018525	0.018522	0.017069	0.011403	0.018419	0.003444	0.016821	0.018551	0.034015	0.034963	0.015864	0.015664	0.010189	0.004145	0.033988	0.034072
8	159415	160339	0.008163	0.004865	0.010842	0.006763	0.033331	0.015581	0.029629	0.017589	0.032687	0.02977	0.034438	0.033461	0.048126	0.04973	0.034509	0.032703	0.019364	0.008471	0.049011	0.048024
8	161061	161604	0.0061	0.008338	0.00925	0.006637	0.025545	0.014867	0.023586	0.016617	0.025204	0.022504	0.030983	0.027173	0.027485	0.018624	0.027622	0.030561	0.01556	0.008133	0.024118	0.027487
8	161873	163325	0.007541	0.009765	0.010945	0.008946	0.018129	0.016644	0.018484	0.018926	0.018191	0.012711	0.017118	0.013069	0.032091	0.034562	0.019682	0.020059	0.013117	0.009469	0.03303	0.032119
8	165983	167487	0.003176	0.002966	0.005939	0.002313	0.013778	0.012931	0.012558	0.012612	0.013564	0.003029	0.011092	0.018401	0.019612	0.024367	0.015676	0.012292	0.007888	0.002853	0.021416	0.019684
8	173662	174596	0.001357	0.007716	0.006359	0.002487	0.016373	0.014401	0.014093	0.017802	0.015977	0.002697	0.015663	0.01142	0.023357	0.032226	0.023135	0.021658	0.008936	0.003301	0.026727	0.023546
8	181680	183226	0.006853	0.005448	0.008004	0.00206	0.010187	0.010331	0.007585	0.0109	0.009735	0.002375	0.016718	0.011698	0.029761	0.029208	0.016313	0.017938	0.006615	0.002961	0.029553	0.029851
8	192722	193584	0.001721	0.006601	0.003777	0.005205	0.009179	0.012161	0.01362	0.008423	0.009958	0.006295	0.018022	0.011005	0.027098	0.027048	0.013097	0.017498	0.006554	0.006033	0.027125	0.027257
8	205094	206070	0.004016	0.00647	0.006961	0.017043	0.016112	0.016215	0.018569	0.013818	0.016539	0.017627	0.022552	0.02029	0.023741	0.019528	0.020121	0.024181	0.014749	0.017374	0.02214	0.023798
8	208158	208941	0.006651	0.008967	0.009542	0.008055	0.014843	0.012434	0.019077	0.015759	0.015732	0.008883	0.017037	0.019563	0.048428	0.048061	0.019322	0.021366	0.01104	0.008608	0.048265	0.048593
8	214290	215827	0.004711	0.007013	0.007363	0.011346	0.01843	0.019549	0.017211	0.013517	0.018219	0.013035	0.025347	0.020375	0.026814	0.023561	0.021816	0.020888	0.013779	0.012206	0.02558	0.026942
8	228067	228653	0.000712	0.014562	0.008082	0.002575	0.0213	0.015287	0.01651	0.022737	0.020891	0.01139	0.025724	0.013152	0.038473	0.039317	0.023133	0.028677	0.011199	0.004033	0.038806	0.038767
8	250403	251902	0.004429	0.012405	0.011105	0.010217	0.016421	0.012551	0.018577	0.023923	0.017173	0.014796	0.025392	0.028769	0.030655	0.025853	0.021353	0.031417	0.012318	0.011188	0.028973	0.030708
8	261550	262637	0.005945	0.008655	0.007533	0.006022	0.013789	0.014021	0.018094	0.011271	0.014508	0.012481	0.015444	0.017163	0.020766	0.016617	0.00907	0.011374	0.009704	0.0066	0.019179	0.020618
8	262864	263546	0.00387	0.014746	0.006758	0.008278	0.012622	0.013196	0.018862	0.012782	0.013681	0.016145	0.022647	0.018809	0.034194	0.027048	0.014333	0.018119	0.009719	0.009162	0.031479	0.03427
8	263807	264284	0.007276	0.010707	0.009117	0.004367	0.010167	0.012946	0.012452	0.013227	0.010565	0.010369	0.022148	0.015453	0.035538	0.036412	0.023061	0.019392	0.007541	0.005463	0.03587	0.035836
8	264763	265163	0.007555	0.014428	0.013088	0.003997	0.023095	0.023662	0.027824	0.025541	0.023933	0.006315	0.015405	0.02359	0.036602	0.033279	0.01758	0.023691	0.013575	0.004697	0.035369	0.036588
8	267069	267786	0.004024	0.006417	0.007032	0.001878	0.017466	0.018228	0.018448	0.014047	0.017637	0.002658	0.014265	0.00939	0.029517	0.031814	0.020085	0.018628	0.009602	0.002641	0.03039	0.029574
8	269370	270918	0.012981	0.011667	0.014698	0.002486	0.021945	0.021705	0.02344	0.018936	0.022208	0.00538	0.034545	0.027205	0.029068	0.028609	0.028959	0.02889	0.01324	0.00446	0.028892	0.029148
8	272680	273096	0.004445	0.006252	0.007725	0.001277	0.017906	0.016008	0.009757	0.015446	0.016509	0.006846	0.020616	0.026727	0.029202	0.033258	0.023728	0.021882	0.009642	0.002481	0.030743	0.029418
8	273424	274644	0.005331	0.004183	0.00674	0.004048	0.011123	0.008334	0.01099	0.010232	0.0111	0.008296	0.013236	0.011651	0.020528	0.017846	0.011294	0.00993	0.007598	0.004693	0.019509	0.020466
8	283734	284960	0.004862	0.002445	0.006128	0.002214	0.005981	0.006927	0.007322	0.009394	0.006214	0.004741	0.015879	0.002432	0.021584	0.023656	0.017951	0.016707	0.004383	0.003055	0.022372	0.021521
8	305831	307215	0.00559	0.007754	0.008566	0.003933	0.034367	0.032992	0.030041	0.015573	0.033629	0.00538	0.025044	0.027876	0.03847	0.035462	0.027104	0.026824	0.018665	0.005234	0.037328	0.03843
8	310369	311870	0.017078	0.016616	0.018941	0.015998	0.019901	0.01693	0.021181	0.023664	0.02009	0.011964	0.017456	0.014884	0.025455	0.027318	0.021671	0.01964	0.017996	0.016097	0.02616	0.025311
8	315993	316430	0.002173	0.000978	0.00317	0.005897	0.010512	0.015441	0.009114	0.005678	0.010269	0.011501	0.016902	0.011563	0.029496	0.028959	0.015381	0.010845	0.007565	0.006581	0.029292	0.029466
8	319964	320656	0.001174	0.006287	0.00457	0.004977	0.012536	0.016595	0.010291	0.012266	0.012146	0.012219	0.023589	0.014792	0.02111	0.020202	0.02886	0.027417	0.008034	0.006123	0.020765	0.021534
8	320980	321562	0.000353	0.010688	0.004468	0.004599	0.008579	0.014343	0.019464	0.014124	0.010365	0.010948	0.021793	0.021488	0.041974	0.037956	0.024957	0.024814	0.00589	0.005664	0.040448	0.042088
8	334580	335269	0.000365	0.010404	0.006279	0.006987	0.015144	0.0142	0.017484	0.019575	0.015551	0.01339	0.019951	0.025484	0.024677	0.018307	0.023379	0.024094	0.009928	0.007785	0.022247	0.02488
8	393283	393789	0.004606	0.009991	0.007689	0.003661	0.016488	0.015194	0.013673	0.014607	0.015998	0.009825	0.017377	0.017393	0.017889	0.019476	0.023601	0.021577	0.0099	0.004503	0.018492	0.018167
