pos	verb	ccar	slew	bic
49350	1.0	1.0	1.0	0.0
49385	0.0	1.0	1.0	1.0
49453	1.0	1.0	0.973684210526	0.0
322856	1.0	1.0	1.0	0.0
322968	1.0	1.0	0.657894736842	1.0
322972	1.0	0.887096774194	1.0	1.0
322975	1.0	1.0	0.973684210526	1.0
323051	1.0	0.903225806452	1.0	1.0
323061	1.0	1.0	1.0	0.0
323066	1.0	1.0	1.0	0.0
323088	1.0	1.0	1.0	0.0
323089	0.0	0.838709677419	0.842105263158	0.0
323098	1.0	0.983870967742	0.684210526316	1.0
323122	0.0	0.838709677419	0.815789473684	0.0
323153	0.0	1.0	1.0	1.0
323188	1.0	1.0	1.0	0.0
480231	1.0	0.91935483871	1.0	1.0
480442	1.0	1.0	0.815789473684	1.0
480445	1.0	1.0	0.815789473684	1.0
480460	1.0	0.983870967742	1.0	1.0
480488	1.0	0.967741935484	1.0	1.0
481122	1.0	1.0	1.0	0.0
481123	0.0	0.612903225806	0.0	0.0
481128	1.0	1.0	0.947368421053	1.0
481144	1.0	1.0	0.315789473684	1.0
481145	1.0	1.0	1.0	0.0
481146	0.0	1.0	0.947368421053	1.0
481148	0.0	1.0	0.947368421053	1.0
481154	1.0	1.0	0.157894736842	1.0
481162	1.0	1.0	1.0	0.0
481176	0.0	1.0	1.0	1.0
481188	1.0	1.0	1.0	0.0
481198	1.0	1.0	0.0	1.0
481231	1.0	0.935483870968	1.0	1.0
481237	1.0	1.0	0.973684210526	1.0
481250	1.0	1.0	0.973684210526	0.0
584462	1.0	1.0	1.0	0.0
584475	0.0	0.983870967742	1.0	1.0
584486	0.0	1.0	0.973684210526	1.0
584487	0.0	0.677419354839	0.0	0.0
584514	0.0	1.0	1.0	1.0
651003	1.0	1.0	0.578947368421	1.0
651021	0.0	1.0	0.368421052632	0.0
656247	1.0	1.0	0.5	0.0
656293	1.0	1.0	0.473684210526	0.0
656329	1.0	1.0	0.947368421053	1.0
656338	1.0	1.0	0.473684210526	0.0
669538	1.0	0.935483870968	0.973684210526	1.0
669547	1.0	1.0	0.578947368421	1.0
669583	1.0	0.903225806452	1.0	1.0
669594	0.0	1.0	1.0	1.0
669658	1.0	1.0	0.973684210526	1.0
669704	1.0	1.0	0.631578947368	1.0
669829	1.0	0.983870967742	1.0	1.0
669833	0.0	1.0	1.0	1.0
669840	1.0	0.870967741935	1.0	1.0
670861	1.0	1.0	0.763157894737	1.0
670877	1.0	0.951612903226	1.0	1.0
670883	0.5	0.967741935484	1.0	1.0
670897	1.0	0.693548387097	1.0	1.0
670903	0.5	0.790322580645	0.763157894737	1.0
670909	1.0	1.0	0.973684210526	1.0
670934	1.0	0.870967741935	0.763157894737	1.0
670936	0.5	0.661290322581	0.763157894737	1.0
670949	1.0	0.983870967742	1.0	1.0
670950	1.0	0.983870967742	1.0	1.0
670952	0.5	0.645161290323	0.0	0.0
670955	1.0	0.983870967742	1.0	1.0
670962	1.0	0.983870967742	1.0	1.0
670974	1.0	1.0	1.0	0.0
671029	0.5	1.0	1.0	1.0
671033	1.0	0.935483870968	1.0	1.0
671039	0.5	1.0	1.0	1.0
671044	0.5	1.0	1.0	1.0
671045	1.0	0.967741935484	1.0	1.0
671046	1.0	0.661290322581	0.763157894737	1.0
671353	1.0	0.983870967742	1.0	1.0
671364	1.0	0.693548387097	0.763157894737	1.0
671380	0.5	0.935483870968	0.236842105263	1.0
671383	0.5	0.935483870968	0.236842105263	1.0
671390	0.5	1.0	0.236842105263	1.0
671394	0.5	1.0	0.236842105263	1.0
671416	0.5	0.935483870968	1.0	1.0
671422	1.0	1.0	0.236842105263	1.0
671452	1.0	1.0	0.921052631579	1.0
671482	0.5	0.91935483871	1.0	1.0
671507	1.0	0.774193548387	1.0	1.0
671554	0.5	1.0	0.263157894737	1.0
671560	0.5	1.0	0.263157894737	1.0
671576	1.0	0.967741935484	1.0	1.0
671578	1.0	0.967741935484	1.0	1.0
674890	1.0	0.983870967742	1.0	1.0
674894	1.0	0.983870967742	1.0	1.0
674918	1.0	1.0	0.0	1.0
674948	1.0	0.967741935484	1.0	1.0
674963	1.0	1.0	1.0	0.0
674975	1.0	1.0	1.0	0.0
674981	0.0	1.0	0.0	0.0
675080	1.0	1.0	1.0	0.0
675092	0.0	1.0	0.578947368421	1.0
675104	1.0	1.0	1.0	0.0
675124	1.0	1.0	0.947368421053	1.0
675192	1.0	1.0	1.0	0.0
675199	1.0	1.0	1.0	0.0
675207	1.0	1.0	1.0	0.0
675210	0.0	1.0	1.0	1.0
687337	1.0	0.983870967742	1.0	1.0
687351	0.0	1.0	1.0	1.0
687353	0.0	1.0	1.0	0.0
687380	0.0	1.0	1.0	1.0
687383	0.0	1.0	0.0	1.0
687396	1.0	0.91935483871	1.0	1.0
687402	1.0	1.0	1.0	0.0
687462	1.0	1.0	0.0	1.0
