# LG	Marker	cM	Scaffold	Scaffold Orientation	Scaffold BP	LG BP	NodeIndex
1	8054	5.38	tig00001067_pilon	-	49347	42037	0
1	8053	5.38	tig00001067_pilon	-	49164	42220	0
1	15359	5.38	tig00002369_pilon	-	4604455	159470	1
1	15358	5.38	tig00002369_pilon	-	4603896	160029	1
1	15354	5.38	tig00002369_pilon	-	4597087	166838	1
1	15353	5.38	tig00002369_pilon	-	4592589	171336	1
1	15351	5.38	tig00002369_pilon	-	4554653	209272	1
1	15350	5.38	tig00002369_pilon	-	4554321	209604	1
1	15349	5.38	tig00002369_pilon	-	4553704	210221	1
1	15344	5.38	tig00002369_pilon	-	4547702	216223	1
1	15343	5.38	tig00002369_pilon	-	4547500	216425	1
1	15342	5.38	tig00002369_pilon	-	4546876	217049	1
1	15341	5.38	tig00002369_pilon	-	4531906	232019	1
1	15340	5.38	tig00002369_pilon	-	4531850	232075	1
1	15339	5.38	tig00002369_pilon	-	4531849	232076	1
1	15338	5.38	tig00002369_pilon	-	4531745	232180	1
1	15337	5.38	tig00002369_pilon	-	4531717	232208	1
1	15336	5.38	tig00002369_pilon	-	4531687	232238	1
1	15335	5.38	tig00002369_pilon	-	4531661	232264	1
1	15334	5.38	tig00002369_pilon	-	4531595	232330	1
1	15333	5.38	tig00002369_pilon	-	4531582	232343	1
1	15332	5.38	tig00002369_pilon	-	4531577	232348	1
1	15331	5.38	tig00002369_pilon	-	4531527	232398	1
1	15330	5.38	tig00002369_pilon	-	4531523	232402	1
1	15329	5.38	tig00002369_pilon	-	4531484	232441	1
1	15328	5.38	tig00002369_pilon	-	4531454	232471	1
1	15327	5.38	tig00002369_pilon	-	4531439	232486	1
1	15326	5.38	tig00002369_pilon	-	4531395	232530	1
1	15325	5.38	tig00002369_pilon	-	4531261	232664	1
1	15324	5.38	tig00002369_pilon	-	4531228	232697	1
1	15323	5.38	tig00002369_pilon	-	4531093	232832	1
1	15322	5.38	tig00002369_pilon	-	4531092	232833	1
1	15321	5.38	tig00002369_pilon	-	4531091	232834	1
1	15320	5.38	tig00002369_pilon	-	4531082	232843	1
1	15319	5.38	tig00002369_pilon	-	4531070	232855	1
1	15318	5.38	tig00002369_pilon	-	4531063	232862	1
1	15317	5.38	tig00002369_pilon	-	4531034	232891	1
1	15316	5.38	tig00002369_pilon	-	4531032	232893	1
1	15315	5.38	tig00002369_pilon	-	4530960	232965	1
1	15314	5.38	tig00002369_pilon	-	4530942	232983	1
1	15313	5.38	tig00002369_pilon	-	4530941	232984	1
1	15312	5.38	tig00002369_pilon	-	4530921	233004	1
1	15311	5.38	tig00002369_pilon	-	4530919	233006	1
1	15310	5.38	tig00002369_pilon	-	4530827	233098	1
1	15309	5.38	tig00002369_pilon	-	4530819	233106	1
1	15308	5.38	tig00002369_pilon	-	4530803	233122	1
1	15307	5.38	tig00002369_pilon	-	4530774	233151	1
1	15306	5.38	tig00002369_pilon	-	4530771	233154	1
1	15305	5.38	tig00002369_pilon	-	4530755	233170	1
1	15304	5.38	tig00002369_pilon	-	4530752	233173	1
1	15303	5.38	tig00002369_pilon	-	4530669	233256	1
1	15302	5.38	tig00002369_pilon	-	4530664	233261	1
1	15301	5.38	tig00002369_pilon	-	4530660	233265	1
1	15300	5.38	tig00002369_pilon	-	4530647	233278	1
1	15299	5.38	tig00002369_pilon	-	4530632	233293	1
1	15298	5.38	tig00002369_pilon	-	4530628	233297	1
1	15297	5.38	tig00002369_pilon	-	4530621	233304	1
1	15296	5.38	tig00002369_pilon	-	4530616	233309	1
1	15295	5.38	tig00002369_pilon	-	4530583	233342	1
1	15294	5.38	tig00002369_pilon	-	4530542	233383	1
1	15293	5.38	tig00002369_pilon	-	4530514	233411	1
1	15292	5.38	tig00002369_pilon	-	4530463	233462	1
1	15291	5.38	tig00002369_pilon	-	4530458	233467	1
1	15290	5.38	tig00002369_pilon	-	4530441	233484	1
1	15289	5.38	tig00002369_pilon	-	4530438	233487	1
1	15283	5.38	tig00002369_pilon	-	4519538	244387	1
1	15282	5.38	tig00002369_pilon	-	4519490	244435	1
1	15281	5.38	tig00002369_pilon	-	4519377	244548	1
1	15280	5.38	tig00002369_pilon	-	4519148	244777	1
1	15279	5.38	tig00002369_pilon	-	4517832	246093	1
1	15278	5.38	tig00002369_pilon	-	4517831	246094	1
1	15277	5.38	tig00002369_pilon	-	4517443	246482	1
1	15276	5.38	tig00002369_pilon	-	4517401	246524	1
1	15275	5.38	tig00002369_pilon	-	4517285	246640	1
1	15274	5.38	tig00002369_pilon	-	4517261	246664	1
1	15273	5.38	tig00002369_pilon	-	4517259	246666	1
1	15272	5.38	tig00002369_pilon	-	4517180	246745	1
1	15271	5.38	tig00002369_pilon	-	4517167	246758	1
1	15270	5.38	tig00002369_pilon	-	4517098	246827	1
1	15269	5.38	tig00002369_pilon	-	4516954	246971	1
1	15268	5.38	tig00002369_pilon	-	4516018	247907	1
1	15267	5.38	tig00002369_pilon	-	4516000	247925	1
1	15256	5.38	tig00002369_pilon	-	4505650	258275	1
1	15255	5.38	tig00002369_pilon	-	4505631	258294	1
1	15254	5.38	tig00002369_pilon	-	4497659	266266	1
1	15253	5.38	tig00002369_pilon	-	4497615	266310	1
1	15252	5.38	tig00002369_pilon	-	4497611	266314	1
1	15251	5.38	tig00002369_pilon	-	4497597	266328	1
1	15250	5.38	tig00002369_pilon	-	4497520	266405	1
1	15249	5.38	tig00002369_pilon	-	4497096	266829	1
1	15248	5.38	tig00002369_pilon	-	4497008	266917	1
1	15247	5.38	tig00002369_pilon	-	4496960	266965	1
1	15246	5.38	tig00002369_pilon	-	4496945	266980	1
1	15245	5.38	tig00002369_pilon	-	4496944	266981	1
1	15244	5.38	tig00002369_pilon	-	4496933	266992	1
1	15243	5.38	tig00002369_pilon	-	4496930	266995	1
1	15242	5.38	tig00002369_pilon	-	4496891	267034	1
1	15241	5.38	tig00002369_pilon	-	4496884	267041	1
1	15240	5.38	tig00002369_pilon	-	4496878	267047	1
1	15239	5.38	tig00002369_pilon	-	4496875	267050	1
1	15238	5.38	tig00002369_pilon	-	4496859	267066	1
1	15237	5.38	tig00002369_pilon	-	4496823	267102	1
1	15236	5.38	tig00002369_pilon	-	4496819	267106	1
1	15233	5.38	tig00002369_pilon	-	4494388	269537	1
1	15232	5.38	tig00002369_pilon	-	4491898	272027	1
1	15231	5.38	tig00002369_pilon	-	4491891	272034	1
1	15230	5.38	tig00002369_pilon	-	4489351	274574	1
1	15229	5.38	tig00002369_pilon	-	4489113	274812	1
1	15228	5.38	tig00002369_pilon	-	4489107	274818	1
1	15227	5.38	tig00002369_pilon	-	4489005	274920	1
1	15226	5.38	tig00002369_pilon	-	4488354	275571	1
1	15225	5.38	tig00002369_pilon	-	4488297	275628	1
1	15224	5.38	tig00002369_pilon	-	4487967	275958	1
1	15223	5.38	tig00002369_pilon	-	4486433	277492	1
1	15222	5.38	tig00002369_pilon	-	4486402	277523	1
1	15221	5.38	tig00002369_pilon	-	4485972	277953	1
1	15220	5.38	tig00002369_pilon	-	4485943	277982	1
1	15219	5.38	tig00002369_pilon	-	4485934	277991	1
1	15218	5.38	tig00002369_pilon	-	4485803	278122	1
1	15217	5.38	tig00002369_pilon	-	4485667	278258	1
1	15216	5.38	tig00002369_pilon	-	4485605	278320	1
1	15215	5.38	tig00002369_pilon	-	4484678	279247	1
1	15214	5.38	tig00002369_pilon	-	4482393	281532	1
1	15213	5.38	tig00002369_pilon	-	4482372	281553	1
1	15212	5.38	tig00002369_pilon	-	4482363	281562	1
1	15211	5.38	tig00002369_pilon	-	4482349	281576	1
1	15210	5.38	tig00002369_pilon	-	4482328	281597	1
1	15209	5.38	tig00002369_pilon	-	4482145	281780	1
1	15208	5.38	tig00002369_pilon	-	4482126	281799	1
1	15207	5.38	tig00002369_pilon	-	4482026	281899	1
1	15206	5.38	tig00002369_pilon	-	4481943	281982	1
1	15196	5.38	tig00002369_pilon	-	4443417	320508	1
1	15195	5.38	tig00002369_pilon	-	4443351	320574	1
1	15194	5.38	tig00002369_pilon	-	4443315	320610	1
1	15193	5.38	tig00002369_pilon	-	4443298	320627	1
1	15192	5.38	tig00002369_pilon	-	4438042	325883	1
1	15191	5.38	tig00002369_pilon	-	4438033	325892	1
1	15190	5.38	tig00002369_pilon	-	4437991	325934	1
1	15189	5.38	tig00002369_pilon	-	4437931	325994	1
1	15188	5.38	tig00002369_pilon	-	4437919	326006	1
1	15187	5.38	tig00002369_pilon	-	4437916	326009	1
1	15186	5.38	tig00002369_pilon	-	4437909	326016	1
1	15185	5.38	tig00002369_pilon	-	4437907	326018	1
1	15184	5.38	tig00002369_pilon	-	4437903	326022	1
